seed,gridsize,ncount,method,runtime
55,5000,31,6,
44,5000,32,2,
44,5000,32,4,0.02223
44,5000,32,6,
43,100,26,2,562.010129
43,100,26,4,0.051972
43,100,26,6,42.368678
15,100,27,2,1.367774
15,100,27,4,17.816164
15,100,27,6,233.117028
38,100,28,2,7.880132
38,100,28,4,0.006472
38,100,28,6,
85,100,29,2,408.224541
85,100,29,4,0.067706
85,100,29,6,
21,100,30,2,64.624247
21,100,30,4,0.037541
21,100,30,6,
60,100,31,2,57.839636
60,100,31,4,0.01603
60,100,31,6,
64,100,32,2,4.589648
64,100,32,4,0.009773
64,100,32,6,
9,1000,26,2,30.408395
9,1000,26,4,0.275299
9,1000,26,6,92.351559
42,1000,27,2,0.704211
42,1000,27,4,0.871837
42,1000,27,6,
43,1000,28,2,13.306593
43,1000,28,4,4.84769
43,1000,28,6,
29,1000,29,2,7.603912
29,1000,29,4,0.618682
29,1000,29,6,
90,1000,30,2,23.091072
90,1000,30,4,19.23014
90,1000,30,6,
74,1000,31,2,114.864017
74,1000,31,4,0.098837
74,1000,31,6,
67,1000,32,2,29.454092
67,1000,32,4,0.035609
67,1000,32,6,
54,5000,26,2,7.028803
54,5000,26,4,0.005056
54,5000,26,6,
44,5000,27,2,138.948186
44,5000,27,4,0.035194
44,5000,27,6,90.396661
75,5000,28,2,2.418878
75,5000,28,4,0.005505
75,5000,28,6,298.642852
78,5000,29,2,458.286846
78,5000,29,4,0.069951
78,5000,29,6,
61,5000,30,2,
61,5000,30,4,0.054574
61,5000,30,6,
77,5000,31,2,228.348826
77,5000,31,4,0.016027
77,5000,31,6,
87,5000,32,2,
87,5000,32,4,0.481351
87,5000,32,6,
3,100,26,2,2.179877
3,100,26,4,0.00837
3,100,26,6,35.017713
27,100,27,2,19.588348
27,100,27,4,0.009551
27,100,27,6,85.662512
51,100,28,2,4.512093
51,100,28,4,1.586226
51,100,28,6,
45,100,29,2,4.042543
45,100,29,4,7.511313
45,100,29,6,
77,100,30,2,0.988743
77,100,30,4,0.005191
77,100,30,6,
72,100,31,2,0.704214
72,100,31,4,0.00768
72,100,31,6,
73,100,32,2,36.627986
73,100,32,4,0.663055
73,100,32,6,
51,1000,26,2,21.318496
51,1000,26,4,0.008745
51,1000,26,6,
15,1000,27,2,0.392642
15,1000,27,4,0.23484
15,1000,27,6,
64,1000,28,2,0.225475
