seed,gridsize,ncount,method,runtime
91,100,19,5,1.162884
91,100,19,6,0.132117
41,1000,5,1,0.000001
41,1000,5,2,0.000106
41,1000,5,3,0.000024
41,1000,5,4,0.001126
41,1000,5,5,0.000005
41,1000,5,6,0.000005
62,1000,6,1,0.000005
62,1000,6,2,0.000691
62,1000,6,3,0.000041
62,1000,6,4,0.000828
62,1000,6,5,0.000007
62,1000,6,6,0.000007
85,1000,7,1,0.000019
85,1000,7,2,0.002287
85,1000,7,3,0.00009
85,1000,7,4,0.000957
85,1000,7,5,0.000015
85,1000,7,6,0.000011
40,1000,8,1,0.000096
40,1000,8,2,0.002063
40,1000,8,3,0.000213
40,1000,8,4,0.000849
40,1000,8,5,0.000032
40,1000,8,6,0.000021
44,1000,9,1,0.00061
44,1000,9,2,0.009916
44,1000,9,3,0.000512
44,1000,9,4,0.001072
44,1000,9,5,0.00007
44,1000,9,6,0.000041
21,1000,10,1,0.002121
21,1000,10,2,0.008651
21,1000,10,3,0.001222
21,1000,10,4,0.00113
21,1000,10,5,0.00016
21,1000,10,6,0.000089
74,1000,11,1,0.029219
74,1000,11,2,0.003906
74,1000,11,3,0.003031
74,1000,11,4,0.001055
74,1000,11,5,0.000372
74,1000,11,6,0.000203
54,1000,12,1,0.126474
54,1000,12,2,0.005909
54,1000,12,3,0.007222
54,1000,12,4,0.001107
54,1000,12,5,0.000889
54,1000,12,6,0.000458
7,1000,13,1,0.095018
7,1000,13,2,0.00808
7,1000,13,3,0.017028
7,1000,13,4,0.001202
7,1000,13,5,0.002182
7,1000,13,6,0.00104
91,1000,14,1,1.466456
91,1000,14,2,0.45981
91,1000,14,3,0.041534
91,1000,14,4,0.00187
91,1000,14,5,0.005672
91,1000,14,6,0.00238
9,1000,15,1,7.230988
9,1000,15,2,0.081659
9,1000,15,3,0.099812
9,1000,15,4,0.001946
9,1000,15,5,0.014249
9,1000,15,6,0.005321
36,1000,16,1,48.596932
36,1000,16,2,0.163292
36,1000,16,3,0.24086
36,1000,16,4,0.002897
36,1000,16,5,0.037169
36,1000,16,6,0.011862
66,1000,17,1,93.014189
