seed,gridsize,ncount,method,besttour,runtime
38,100,28,2,427,4.930893
38,100,28,4,417,0.003178
38,100,28,6,,
49,100,29,2,498,42.654159
49,100,29,4,476,0.007064
49,100,29,6,,
18,100,30,2,465,39.169346
18,100,30,4,455,0.208788
18,100,30,6,,
43,100,31,2,528,228.677674
43,100,31,4,503,0.027145
43,100,31,6,,
27,100,32,2,534,34.93757
27,100,32,4,487,0.005281
27,100,32,6,,
2,1000,26,2,3969,0.204411
2,1000,26,4,3783,0.002367
2,1000,26,6,3783,15.05654
24,1000,27,2,5312,29.339719
24,1000,27,4,4633,0.004355
24,1000,27,6,,
7,1000,28,2,3653,0.258069
7,1000,28,4,3653,0.003204
7,1000,28,6,,
38,1000,29,2,5051,5.980605
38,1000,29,4,4511,0.007459
38,1000,29,6,,
100,1000,30,2,5022,0.788967
100,1000,30,4,4487,0.005083
100,1000,30,6,,
25,1000,31,2,,
25,1000,31,4,4669,0.009032
25,1000,31,6,,
49,1000,32,2,4621,11.775108
49,1000,32,4,4500,0.005299
49,1000,32,6,,
13,5000,26,2,20095,19.190139
13,5000,26,4,19741,0.004991
13,5000,26,6,19741,22.566198
60,5000,27,2,24682,5.89044
60,5000,27,4,22206,0.165616
60,5000,27,6,22206,32.28496
60,5000,28,2,25726,4.655244
60,5000,28,4,23119,0.004066
60,5000,28,6,23119,69.481177
46,5000,29,2,,
46,5000,29,4,23724,0.005844
46,5000,29,6,,
45,5000,30,2,25162,82.097282
45,5000,30,4,23937,0.007559
45,5000,30,6,,
48,5000,31,2,24315,2.402285
48,5000,31,4,22919,0.003721
48,5000,31,6,,
48,5000,32,2,24426,2.558143
48,5000,32,4,23702,0.005014
48,5000,32,6,,
60,100,26,2,517,1.187074
60,100,26,4,461,0.00318
60,100,26,6,461,15.12239
13,100,27,2,502,2.647101
13,100,27,4,453,0.005941
13,100,27,6,453,32.346275
78,100,28,2,485,1.607856
78,100,28,4,428,0.005303
78,100,28,6,,
35,100,29,2,456,4.122251
35,100,29,4,431,0.259555
35,100,29,6,,
79,100,30,2,518,0.894726
79,100,30,4,466,0.003222
79,100,30,6,,
55,100,31,2,421,1.725123
55,100,31,4,390,0.006773
55,100,31,6,,
2,100,32,2,,
2,100,32,4,473,0.034966
2,100,32,6,,
37,1000,26,2,5183,1.130137
37,1000,26,4,4212,0.003882
37,1000,26,6,4212,15.021897
78,1000,27,2,4619,0.432273
78,1000,27,4,4321,0.003879
78,1000,27,6,4321,32.310461
74,1000,28,2,6075,18.67571
74,1000,28,4,4865,0.050752
74,1000,28,6,4865,70.232708
100,1000,29,2,4924,3.034218
100,1000,29,4,4483,0.007151
100,1000,29,6,,
69,1000,30,2,5273,209.385179
69,1000,30,4,4659,0.005217
69,1000,30,6,,
69,1000,31,2,5415,317.530467
69,1000,31,4,4665,0.006769
69,1000,31,6,,
53,1000,32,2,5231,24.16591
53,1000,32,4,4969,0.011356
53,1000,32,6,,
4,5000,26,2,23305,3.633897
4,5000,26,4,21742,0.004158
4,5000,26,6,21742,15.014112
2,5000,27,2,24356,5.533484
2,5000,27,4,23208,0.003213
2,5000,27,6,23208,32.296878
14,5000,28,2,22328,336.79549
14,5000,28,4,21215,0.121964
14,5000,28,6,21215,69.453178
28,5000,29,2,28670,546.858105
